t_epoch,x_m,y_m,Pxx,Pxy,Pyx,Pyy
1.772659629900000095e+09,5.424661806358614946e-01,-6.507778688228781050e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629916666746e+09,6.016550051478798400e-01,-6.509016337103554406e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629933333397e+09,6.200042694965905987e-01,-6.508657594310152206e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659629950000048e+09,6.533325692949872865e-01,-6.508178320446769760e+01,3.925140897751028889e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.933001920978963891e-06
1.772659629966666698e+09,6.213193498321918362e-01,-6.508152608370284042e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659629983333349e+09,6.163201899698779185e-01,-6.507983166703299105e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630000000000e+09,6.234895157811848332e-01,-6.507964280604248586e+01,3.883968091131261282e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.891746656073590425e-06
1.772659630016666651e+09,6.197225918184715576e-01,-6.506051934186950803e+01,3.911319979096974139e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.919153322665658178e-06
1.772659630033333302e+09,6.715130742644769279e-01,-6.507555915819926895e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630049999952e+09,7.540768462117748427e-01,-6.507980595314502636e+01,4.010162000229388764e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.018193298328689398e-06
1.772659630066666603e+09,8.005233357775307645e-01,-6.505032603590791496e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630083333254e+09,9.366157366221357083e-01,-6.504230762193093085e+01,4.479092234127181592e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.488062675955834843e-06
1.772659630099999905e+09,1.030195905155976366e+00,-6.506164944722154075e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630116666555e+09,1.167137511902266667e+00,-6.500794541881198541e+01,3.981415319224159533e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.989389045294073157e-06
1.772659630133333445e+09,1.288866201564626390e+00,-6.502058436493798865e+01,3.911319979096974139e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.919153322665658178e-06
1.772659630150000095e+09,1.413521686649744646e+00,-6.500251038415750315e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630166666746e+09,1.559279451652034520e+00,-6.496190634872985470e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630183333397e+09,1.717349855797296154e+00,-6.494569313591489390e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630200000048e+09,1.849209748184720059e+00,-6.491322392319612788e+01,3.856996090498407406e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.864720637628635489e-06
1.772659630216666698e+09,2.035847316705603038e+00,-6.487754428304474175e+01,4.083878213468900116e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.092057145724435982e-06
1.772659630233333349e+09,2.194359698010759807e+00,-6.486366353162945586e+01,3.870435101266692973e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.878186563195284346e-06
1.772659630250000000e+09,2.358795037591832511e+00,-6.481250601165854164e+01,3.897596049345757289e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.905401907498408745e-06
1.772659630266666651e+09,2.567804454916760015e+00,-6.475691178330039577e+01,4.288860517619848924e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.297449975432612178e-06
1.772659630283333302e+09,2.754596494458109390e+00,-6.474829916185070999e+01,3.925140897751028889e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.933001920978963891e-06
1.772659630299999952e+09,2.961796887803720857e+00,-6.467620490876122119e+01,4.039326814776512038e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.047416522316533669e-06
1.772659630316666603e+09,3.166308488437677759e+00,-6.462371907168598284e+01,4.443259496254164851e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.452158174548186613e-06
